Kp,R,Dst,ap,F107,RSF
0.7,99,4,3,113.9,No
0.7,99,4,3,113.9,No
0.7,99,3,3,113.9,No
0.3,99,2,2,113.9,No
0.3,99,1,2,113.9,No
0.3,99,3,2,113.9,No
0.3,99,1,2,113.9,No
0.3,99,0,2,113.9,No
0.3,99,-1,2,113.9,No
0,99,-3,0,113.9,No
0,99,-4,0,113.9,No
0,99,-4,0,113.9,No
0.3,99,-1,2,113.9,No
0.3,99,2,2,113.9,No
0.3,99,1,2,113.9,No
0,99,0,0,113.9,No
0,99,-1,0,113.9,No
0,99,0,0,113.9,No
0,99,2,0,113.9,No
0,99,3,0,113.9,No
0,99,1,0,113.9,No
0,99,2,0,113.9,No
0,99,3,0,113.9,No
0,99,5,0,113.9,No
0.7,95,7,3,115,No
0.7,95,9,3,115,No
0.7,95,10,3,115,No
0.7,95,10,3,115,No
0.7,95,10,3,115,No
0.7,95,11,3,115,No
1.3,95,11,5,115,No
1.3,95,6,5,115,No
1.3,95,2,5,115,No
1,95,-2,4,115,No
1,95,-3,4,115,No
1,95,0,4,115,No
0.7,95,3,3,115,No
0.7,95,0,3,115,No
0.7,95,-2,3,115,No
0.7,95,-1,3,115,No
0.7,95,-1,3,115,No
0.7,95,1,3,115,No
1,95,3,4,115,No
1,95,5,4,115,No
1,95,5,4,115,No
0.7,95,3,3,115,No
0.7,95,1,3,115,No
0.7,95,2,3,115,No
1.7,130,7,6,124.6,No
1.7,130,8,6,124.6,No
1.7,130,11,6,124.6,No
0.7,130,12,3,124.6,No
0.7,130,11,3,124.6,No
0.7,130,11,3,124.6,No
0.7,130,9,3,124.6,No
0.7,130,9,3,124.6,No
0.7,130,9,3,124.6,No
0.3,130,11,2,124.6,No
0.3,130,11,2,124.6,No
0.3,130,16,2,124.6,No
0.7,130,20,3,124.6,No
0.7,130,20,3,124.6,No
0.7,130,19,3,124.6,No
0,130,16,0,124.6,No
0,130,13,0,124.6,No
0,130,9,0,124.6,No
0,130,7,0,124.6,No
0,130,8,0,124.6,No
0,130,10,0,124.6,No
0,130,10,0,124.6,No
0,130,7,0,124.6,No
0,130,6,0,124.6,No
1.7,150,5,6,138.4,No
1.7,150,5,6,138.4,No
1.7,150,11,6,138.4,No
0.3,150,13,2,138.4,No
0.3,150,12,2,138.4,No
0.3,150,11,2,138.4,No
1,150,9,4,138.4,No
1,150,9,4,138.4,No
1,150,8,4,138.4,No
0.3,150,8,2,138.4,No
0.3,150,9,2,138.4,No
0.3,150,11,2,138.4,No
0,150,12,0,138.4,No
0,150,13,0,138.4,No
0,150,14,0,138.4,No
0,150,14,0,138.4,No
0,150,9,0,138.4,No
0,150,12,0,138.4,No
0.7,150,12,3,138.4,No
0.7,150,8,3,138.4,No
0.7,150,7,3,138.4,No
0.7,150,3,3,138.4,No
0.7,150,1,3,138.4,No
0.7,150,1,3,138.4,No
0.7,162,2,3,140.3,No
0.7,162,2,3,140.3,No
0.7,162,4,3,140.3,No
1,162,5,4,140.3,No
1,162,6,4,140.3,No
1,162,6,4,140.3,No
1,162,6,4,140.3,No
1,162,5,4,140.3,No
1,162,7,4,140.3,No
0.7,162,8,3,140.3,No
0.7,162,8,3,140.3,No
0.7,162,9,3,140.3,No
0,162,9,0,140.3,No
0,162,9,0,140.3,No
0,162,10,0,140.3,No
0,162,9,0,140.3,No
0,162,5,0,140.3,No
0,162,4,0,140.3,No
0.3,162,5,2,140.3,No
0.3,162,6,2,140.3,No
0.3,162,7,2,140.3,No
0,162,6,0,140.3,No
0,162,4,0,140.3,No
0,162,0,0,140.3,No
0.7,160,-3,3,137.5,No
0.7,160,-3,3,137.5,No
0.7,160,0,3,137.5,No
0.7,160,3,3,137.5,No
0.7,160,7,3,137.5,No
0.7,160,8,3,137.5,No
0.7,160,9,3,137.5,No
0.7,160,12,3,137.5,No
0.7,160,15,3,137.5,No
1,160,16,4,137.5,No
1,160,18,4,137.5,No
1,160,19,4,137.5,No
1,160,17,4,137.5,No
1,160,18,4,137.5,No
1,160,22,4,137.5,No
1,160,21,4,137.5,No
1,160,17,4,137.5,No
1,160,10,4,137.5,No
1.7,160,9,6,137.5,No
1.7,160,11,6,137.5,No
1.7,160,15,6,137.5,No
1,160,14,4,137.5,No
1,160,11,4,137.5,No
1,160,6,4,137.5,No
1.3,145,5,5,144.8,No
1.3,145,4,5,144.8,No
1.3,145,4,5,144.8,No
0.3,145,6,2,144.8,No
0.3,145,7,2,144.8,No
0.3,145,7,2,144.8,No
1.7,145,4,6,144.8,No
1.7,145,3,6,144.8,No
1.7,145,5,6,144.8,No
0.3,145,8,2,144.8,No
0.3,145,12,2,144.8,No
0.3,145,16,2,144.8,No
0.3,145,17,2,144.8,No
0.3,145,16,2,144.8,No
0.3,145,16,2,144.8,No
0,145,16,0,144.8,No
0,145,14,0,144.8,No
0,145,13,0,144.8,No
0.3,145,14,2,144.8,No
0.3,145,13,2,144.8,No
0.3,145,8,2,144.8,No
0.7,145,8,3,144.8,No
0.7,145,3,3,144.8,No
0.7,145,3,3,144.8,No
0.7,154,2,3,150.5,No
0.7,154,1,3,150.5,No
0.7,154,2,3,150.5,No
1.3,154,3,5,150.5,No
1.3,154,4,5,150.5,No
1.3,154,6,5,150.5,No
1,154,7,4,150.5,No
1,154,7,4,150.5,No
1,154,7,4,150.5,No
1.3,154,5,5,150.5,No
1.3,154,5,5,150.5,No
1.3,154,11,5,150.5,No
0.3,154,14,2,150.5,No
0.3,154,16,2,150.5,No
0.3,154,20,2,150.5,No
1,154,19,4,150.5,No
1,154,14,4,150.5,No
1,154,11,4,150.5,No
1,154,10,4,150.5,No
1,154,9,4,150.5,No
1,154,7,4,150.5,No
2.3,154,1,9,150.5,No
2.3,154,-1,9,150.5,No
2.3,154,2,9,150.5,No
2.3,156,1,9,163.8,No
2.3,156,0,9,163.8,No
2.3,156,7,9,163.8,No
1.3,156,10,5,163.8,No
1.3,156,9,5,163.8,No
1.3,156,6,5,163.8,No
0.3,156,3,2,163.8,No
0.3,156,4,2,163.8,No
0.3,156,5,2,163.8,No
2.3,156,5,9,163.8,No
2.3,156,5,9,163.8,No
2.3,156,4,9,163.8,No
0.7,156,0,3,163.8,No
0.7,156,-1,3,163.8,No
0.7,156,2,3,163.8,No
0.3,156,2,2,163.8,No
0.3,156,0,2,163.8,No
0.3,156,-3,2,163.8,No
0.7,156,-1,3,163.8,No
0.7,156,1,3,163.8,No
0.7,156,0,3,163.8,No
0.7,156,-3,3,163.8,No
0.7,156,-6,3,163.8,No
0.7,156,-5,3,163.8,No
1.3,148,-2,5,168.2,No
1.3,148,-3,5,168.2,No
1.3,148,-1,5,168.2,No
0.3,148,-2,2,168.2,No
0.3,148,-4,2,168.2,No
0.3,148,-4,2,168.2,No
0.7,148,-4,3,168.2,No
0.7,148,-2,3,168.2,No
0.7,148,0,3,168.2,No
0.7,148,1,3,168.2,No
0.7,148,2,3,168.2,No
0.7,148,6,3,168.2,No
0.3,148,6,2,168.2,No
0.3,148,3,2,168.2,No
0.3,148,2,2,168.2,No
0.3,148,2,2,168.2,No
0.3,148,1,2,168.2,No
0.3,148,3,2,168.2,No
0.7,148,3,3,168.2,No
0.7,148,3,3,168.2,No
0.7,148,6,3,168.2,No
0.3,148,5,2,168.2,No
0.3,148,4,2,168.2,No
0.3,148,2,2,168.2,No
0.7,163,4,3,166.7,No
0.7,163,8,3,166.7,No
0.7,163,12,3,166.7,No
0.7,163,12,3,166.7,No
0.7,163,10,3,166.7,No
0.7,163,12,3,166.7,No
1,163,15,4,166.7,No
1,163,16,4,166.7,No
1,163,15,4,166.7,No
0.7,163,10,3,166.7,No
0.7,163,11,3,166.7,No
0.7,163,14,3,166.7,No
0.7,163,15,3,166.7,No
0.7,163,17,3,166.7,No
0.7,163,15,3,166.7,No
0,163,12,0,166.7,No
0,163,9,0,166.7,No
0,163,10,0,166.7,No
0.7,163,12,3,166.7,No
0.7,163,12,3,166.7,No
0.7,163,10,3,166.7,No
1.7,163,8,6,166.7,No
1.7,163,4,6,166.7,No
1.7,163,-2,6,166.7,No
2,160,-5,7,163,No
2,160,-5,7,163,No
2,160,-6,7,163,No
1,160,-3,4,163,No
1,160,-1,4,163,No
1,160,-1,4,163,No
1,160,0,4,163,No
1,160,3,4,163,No
1,160,4,4,163,No
1,160,3,4,163,No
1,160,5,4,163,No
1,160,7,4,163,No
0.7,160,10,3,163,No
0.7,160,13,3,163,No
0.7,160,15,3,163,No
0.3,160,15,2,163,No
0.3,160,13,2,163,No
0.3,160,10,2,163,No
1,160,9,4,163,No
1,160,8,4,163,No
1,160,5,4,163,No
0.3,160,6,2,163,No
0.3,160,6,2,163,No
0.3,160,5,2,163,No
2.7,128,3,12,151.4,No
2.7,128,3,12,151.4,No
2.7,128,9,12,151.4,No
1.3,128,10,5,151.4,No
1.3,128,8,5,151.4,No
1.3,128,6,5,151.4,No
2,128,1,7,151.4,No
2,128,3,7,151.4,No
2,128,-2,7,151.4,No
1.3,128,-8,5,151.4,No
1.3,128,-8,5,151.4,No
1.3,128,-3,5,151.4,No
2.3,128,3,9,151.4,No
2.3,128,5,9,151.4,No
2.3,128,8,9,151.4,No
2.7,128,8,12,151.4,No
2.7,128,9,12,151.4,No
2.7,128,11,12,151.4,No
2.7,128,9,12,151.4,No
2.7,128,5,12,151.4,No
2.7,128,-3,12,151.4,No
3.7,128,-10,22,151.4,No
3.7,128,-18,22,151.4,No
3.7,128,-13,22,151.4,No
3.3,119,-11,18,149.1,No
3.3,119,-15,18,149.1,No
3.3,119,-15,18,149.1,No
2.3,119,-9,9,149.1,No
2.3,119,-6,9,149.1,No
2.3,119,-9,9,149.1,No
2.7,119,-15,12,149.1,No
2.7,119,-20,12,149.1,No
2.7,119,-20,12,149.1,No
2.3,119,-24,9,149.1,No
2.3,119,-28,9,149.1,No
2.3,119,-28,9,149.1,No
2,119,-25,7,149.1,No
2,119,-21,7,149.1,No
2,119,-11,7,149.1,No
1.7,119,-7,6,149.1,No
1.7,119,-6,6,149.1,No
1.7,119,-5,6,149.1,No
2,119,-5,7,149.1,No
2,119,-4,7,149.1,No
2,119,-4,7,149.1,No
1.7,119,-5,6,149.1,No
1.7,119,-6,6,149.1,No
1.7,119,-5,6,149.1,No
2,110,-5,7,135.2,No
2,110,-5,7,135.2,No
2,110,-4,7,135.2,No
2,110,-5,7,135.2,No
2,110,-5,7,135.2,No
2,110,-6,7,135.2,No
1.3,110,-6,5,135.2,No
1.3,110,-9,5,135.2,No
1.3,110,-13,5,135.2,No
2,110,-17,7,135.2,No
2,110,-24,7,135.2,No
2,110,-24,7,135.2,No
1.7,110,-20,6,135.2,No
1.7,110,-15,6,135.2,No
1.7,110,-11,6,135.2,No
0.7,110,-3,3,135.2,No
0.7,110,-3,3,135.2,No
0.7,110,-4,3,135.2,No
1.3,110,-3,5,135.2,No
1.3,110,-1,5,135.2,No
1.3,110,-1,5,135.2,No
0.3,110,-1,2,135.2,No
0.3,110,-3,2,135.2,No
0.3,110,-5,2,135.2,No
1.3,90,-7,5,132.6,No
1.3,90,-6,5,132.6,No
1.3,90,-5,5,132.6,No
1,90,-3,4,132.6,No
1,90,2,4,132.6,No
1,90,2,4,132.6,No
2,90,1,7,132.6,No
2,90,-1,7,132.6,No
2,90,-2,7,132.6,No
0.7,90,-7,3,132.6,No
0.7,90,-7,3,132.6,No
0.7,90,-5,3,132.6,No
0.7,90,-4,3,132.6,No
0.7,90,-3,3,132.6,No
0.7,90,2,3,132.6,No
1,90,3,4,132.6,No
1,90,2,4,132.6,No
1,90,4,4,132.6,No
2.3,90,10,9,132.6,No
2.3,90,9,9,132.6,No
2.3,90,2,9,132.6,No
2,90,2,7,132.6,No
2,90,-1,7,132.6,No
2,90,-1,7,132.6,No
3,63,13,15,118.8,No
3,63,28,15,118.8,No
3,63,41,15,118.8,No
3,63,43,15,118.8,No
3,63,31,15,118.8,No
3,63,26,15,118.8,No
1.7,63,22,6,118.8,No
1.7,63,14,6,118.8,No
1.7,63,12,6,118.8,No
1.7,63,9,6,118.8,No
1.7,63,6,6,118.8,No
1.7,63,9,6,118.8,No
3,63,19,15,118.8,No
3,63,34,15,118.8,No
3,63,27,15,118.8,No
4,63,1,27,118.8,No
4,63,-26,27,118.8,No
4,63,-44,27,118.8,No
2.7,63,-47,12,118.8,No
2.7,63,-43,12,118.8,No
2.7,63,-48,12,118.8,No
3,63,-51,15,118.8,No
3,63,-51,15,118.8,No
3,63,-52,15,118.8,No
3,43,-52,15,111.5,No
3,43,-47,15,111.5,No
3,43,-43,15,111.5,No
3,43,-41,15,111.5,No
3,43,-34,15,111.5,No
3,43,-29,15,111.5,No
1.7,43,-28,6,111.5,No
1.7,43,-27,6,111.5,No
1.7,43,-22,6,111.5,No
2,43,-20,7,111.5,No
2,43,-21,7,111.5,No
2,43,-18,7,111.5,No
3,43,-10,15,111.5,No
3,43,13,15,111.5,No
3,43,10,15,111.5,No
2,43,5,7,111.5,No
2,43,10,7,111.5,No
2,43,12,7,111.5,No
2,43,21,7,111.5,No
2,43,26,7,111.5,No
2,43,23,7,111.5,No
3,43,19,15,111.5,No
3,43,4,15,111.5,No
3,43,-8,15,111.5,No
3.3,47,-15,18,103.3,No
3.3,47,-15,18,103.3,No
3.3,47,-13,18,103.3,No
1,47,-13,4,103.3,No
1,47,-18,4,103.3,No
1,47,-16,4,103.3,No
0.7,47,-14,3,103.3,No
0.7,47,-10,3,103.3,No
0.7,47,-10,3,103.3,No
0.3,47,-17,2,103.3,No
0.3,47,-20,2,103.3,No
0.3,47,-23,2,103.3,No
1.3,47,-24,5,103.3,No
1.3,47,-25,5,103.3,No
1.3,47,-19,5,103.3,No
2.3,47,-13,9,103.3,No
2.3,47,-11,9,103.3,No
2.3,47,-2,9,103.3,No
2,47,7,7,103.3,No
2,47,6,7,103.3,No
2,47,4,7,103.3,No
2.7,47,-5,12,103.3,No
2.7,47,-12,12,103.3,No
2.7,47,-14,12,103.3,No
3.3,47,-19,18,103.2,No
3.3,47,-25,18,103.2,No
3.3,47,-33,18,103.2,No
3,47,-31,15,103.2,No
3,47,-27,15,103.2,No
3,47,-25,15,103.2,No
3.7,47,-28,22,103.2,No
3.7,47,-29,22,103.2,No
3.7,47,-28,22,103.2,No
2,47,-25,7,103.2,No
2,47,-22,7,103.2,No
2,47,-24,7,103.2,No
2.7,47,-20,12,103.2,No
2.7,47,-16,12,103.2,No
2.7,47,-15,12,103.2,No
1,47,-15,4,103.2,No
1,47,-17,4,103.2,No
1,47,-19,4,103.2,No
0.3,47,-14,2,103.2,No
0.3,47,-12,2,103.2,No
0.3,47,-11,2,103.2,No
0.7,47,-10,3,103.2,No
0.7,47,-9,3,103.2,No
0.7,47,-10,3,103.2,No
2,37,-12,7,104.9,No
2,37,-12,7,104.9,No
2,37,-12,7,104.9,No
2,37,-14,7,104.9,No
2,37,-17,7,104.9,No
2,37,-17,7,104.9,No
0.7,37,-16,3,104.9,No
0.7,37,-13,3,104.9,No
0.7,37,-12,3,104.9,No
1.3,37,-12,5,104.9,No
1.3,37,-12,5,104.9,No
1.3,37,-14,5,104.9,No
1,37,-15,4,104.9,No
1,37,-13,4,104.9,No
1,37,-9,4,104.9,No
0.7,37,-7,3,104.9,No
0.7,37,-7,3,104.9,No
0.7,37,-9,3,104.9,No
0.3,37,-7,2,104.9,No
0.3,37,-5,2,104.9,No
0.3,37,-5,2,104.9,No
1,37,-6,4,104.9,No
1,37,-9,4,104.9,No
1,37,-10,4,104.9,No
0.7,55,-7,3,106.9,No
0.7,55,-6,3,106.9,No
0.7,55,-8,3,106.9,No
0.3,55,-10,2,106.9,No
0.3,55,-10,2,106.9,No
0.3,55,-8,2,106.9,No
1,55,-7,4,106.9,No
1,55,-2,4,106.9,No
1,55,1,4,106.9,No
0.3,55,0,2,106.9,No
0.3,55,-2,2,106.9,No
0.3,55,-2,2,106.9,No
0,55,-2,0,106.9,No
0,55,-6,0,106.9,No
0,55,-8,0,106.9,No
0,55,-6,0,106.9,No
0,55,-3,0,106.9,No
0,55,-2,0,106.9,No
0,55,-1,0,106.9,No
0,55,-1,0,106.9,No
0,55,-1,0,106.9,No
0,55,0,0,106.9,No
0,55,-1,0,106.9,No
0,55,0,0,106.9,No
0.7,60,2,3,101.6,No
0.7,60,-1,3,101.6,No
0.7,60,-3,3,101.6,No
1,60,-5,4,101.6,No
1,60,-7,4,101.6,No
1,60,-7,4,101.6,No
1.7,60,-4,6,101.6,No
1.7,60,0,6,101.6,No
1.7,60,1,6,101.6,No
0.3,60,1,2,101.6,No
0.3,60,3,2,101.6,No
0.3,60,7,2,101.6,No
0,60,10,0,101.6,No
0,60,10,0,101.6,No
0,60,11,0,101.6,No
0.3,60,14,2,101.6,No
0.3,60,13,2,101.6,No
0.3,60,9,2,101.6,No
0,60,5,0,101.6,No
0,60,3,0,101.6,No
0,60,0,0,101.6,No
0.3,60,0,2,101.6,No
0.3,60,-3,2,101.6,No
0.3,60,-6,2,101.6,No
1.3,55,-7,5,100.2,No
1.3,55,-8,5,100.2,No
1.3,55,-10,5,100.2,No
0.7,55,-8,3,100.2,No
0.7,55,-4,3,100.2,No
0.7,55,-1,3,100.2,No
1.7,55,-3,6,100.2,No
1.7,55,-5,6,100.2,No
1.7,55,-7,6,100.2,No
0.3,55,-6,2,100.2,No
0.3,55,-2,2,100.2,No
0.3,55,2,2,100.2,No
0,55,4,0,100.2,No
0,55,6,0,100.2,No
0,55,6,0,100.2,No
0,55,5,0,100.2,No
0,55,4,0,100.2,No
0,55,3,0,100.2,No
0,55,3,0,100.2,No
0,55,4,0,100.2,No
0,55,8,0,100.2,No
0,55,12,0,100.2,No
0,55,15,0,100.2,No
0,55,15,0,100.2,No
0.7,49,14,3,97.5,No
0.7,49,17,3,97.5,No
0.7,49,19,3,97.5,No
0.7,49,14,3,97.5,No
0.7,49,9,3,97.5,No
0.7,49,3,3,97.5,No
1.3,49,2,5,97.5,No
1.3,49,1,5,97.5,No
1.3,49,1,5,97.5,No
1,49,6,4,97.5,No
1,49,7,4,97.5,No
1,49,4,4,97.5,No
0.3,49,7,2,97.5,No
0.3,49,10,2,97.5,No
0.3,49,10,2,97.5,No
1.7,49,13,6,97.5,No
1.7,49,11,6,97.5,No
1.7,49,20,6,97.5,No
1.7,49,15,6,97.5,No
1.7,49,18,6,97.5,No
1.7,49,22,6,97.5,No
3,49,20,15,97.5,No
3,49,19,15,97.5,No
3,49,6,15,97.5,No
4.3,66,-21,32,96.3,No
4.3,66,-19,32,96.3,No
4.3,66,-15,32,96.3,No
2.3,66,-9,9,96.3,No
2.3,66,-11,9,96.3,No
2.3,66,-15,9,96.3,No
3.3,66,-22,18,96.3,No
3.3,66,-16,18,96.3,No
3.3,66,-16,18,96.3,No
3.3,66,-26,18,96.3,No
3.3,66,-25,18,96.3,No
3.3,66,-26,18,96.3,No
3,66,-24,15,96.3,No
3,66,-21,15,96.3,No
3,66,-22,15,96.3,No
3.7,66,-35,22,96.3,No
3.7,66,-34,22,96.3,No
3.7,66,-26,22,96.3,No
4,66,-28,27,96.3,No
4,66,-28,27,96.3,No
4,66,-30,27,96.3,No
4,66,-43,27,96.3,No
4,66,-51,27,96.3,No
4,66,-39,27,96.3,No
3.3,72,-37,18,94.7,No
3.3,72,-35,18,94.7,No
3.3,72,-35,18,94.7,No
2.3,72,-36,9,94.7,No
2.3,72,-33,9,94.7,No
2.3,72,-32,9,94.7,No
1,72,-32,4,94.7,No
1,72,-30,4,94.7,No
1,72,-27,4,94.7,No
1,72,-29,4,94.7,No
1,72,-29,4,94.7,No
1,72,-24,4,94.7,No
1,72,-19,4,94.7,No
1,72,-17,4,94.7,No
1,72,-16,4,94.7,No
2,72,-15,7,94.7,No
2,72,-16,7,94.7,No
2,72,-17,7,94.7,No
1.7,72,-16,6,94.7,No
1.7,72,-17,6,94.7,No
1.7,72,-16,6,94.7,No
0.3,72,-19,2,94.7,No
0.3,72,-20,2,94.7,No
0.3,72,-18,2,94.7,No
1.3,61,-18,5,94.7,No
1.3,61,-16,5,94.7,No
1.3,61,-16,5,94.7,No
1,61,-14,4,94.7,No
1,61,-15,4,94.7,No
1,61,-16,4,94.7,No
1.3,61,-15,5,94.7,No
1.3,61,-15,5,94.7,No
1.3,61,-12,5,94.7,No
0.3,61,-12,2,94.7,No
0.3,61,-13,2,94.7,No
0.3,61,-15,2,94.7,No
1,61,-15,4,94.7,No
1,61,-15,4,94.7,No
1,61,-16,4,94.7,No
1,61,-14,4,94.7,No
1,61,-12,4,94.7,No
1,61,-11,4,94.7,No
1.3,61,-12,5,94.7,No
1.3,61,-10,5,94.7,No
1.3,61,-12,5,94.7,No
1.7,61,-14,6,94.7,No
1.7,61,-13,6,94.7,No
1.7,61,-11,6,94.7,No
2,52,-9,7,92.6,No
2,52,-9,7,92.6,No
2,52,-9,7,92.6,No
0.3,52,-10,2,92.6,No
0.3,52,-13,2,92.6,No
0.3,52,-14,2,92.6,No
1.7,52,-12,6,92.6,No
1.7,52,-7,6,92.6,No
1.7,52,-3,6,92.6,No
0.3,52,-4,2,92.6,No
0.3,52,-5,2,92.6,No
0.3,52,-6,2,92.6,No
0.3,52,-2,2,92.6,No
0.3,52,0,2,92.6,No
0.3,52,1,2,92.6,No
0,52,2,0,92.6,No
0,52,1,0,92.6,No
0,52,-2,0,92.6,No
0.3,52,-2,2,92.6,No
0.3,52,-3,2,92.6,No
0.3,52,-4,2,92.6,No
0,52,-5,0,92.6,No
0,52,-7,0,92.6,No
0,52,-6,0,92.6,No
0.7,53,-4,3,93.8,No
0.7,53,-5,3,93.8,No
0.7,53,-4,3,93.8,No
0.3,53,-3,2,93.8,No
0.3,53,-2,2,93.8,No
0.3,53,-1,2,93.8,No
1.7,53,0,6,93.8,No
1.7,53,1,6,93.8,No
1.7,53,2,6,93.8,No
0,53,1,0,93.8,No
0,53,-2,0,93.8,No
0,53,-6,0,93.8,No
0,53,-8,0,93.8,No
0,53,-8,0,93.8,No
0,53,-4,0,93.8,No
0.3,53,-1,2,93.8,No
0.3,53,1,2,93.8,No
0.3,53,2,2,93.8,No
0,53,0,0,93.8,No
0,53,-3,0,93.8,No
0,53,-6,0,93.8,No
0.3,53,-9,2,93.8,No
0.3,53,-12,2,93.8,No
0.3,53,-13,2,93.8,No
0.7,49,-12,3,99.7,No
0.7,49,-12,3,99.7,No
0.7,49,-10,3,99.7,No
0.3,49,-6,2,99.7,No
0.3,49,-3,2,99.7,No
0.3,49,2,2,99.7,No
1.3,49,7,5,99.7,No
1.3,49,11,5,99.7,No
1.3,49,13,5,99.7,No
0.3,49,12,2,99.7,No
0.3,49,11,2,99.7,No
0.3,49,10,2,99.7,No
0,49,10,0,99.7,No
0,49,8,0,99.7,No
0,49,8,0,99.7,No
0.3,49,9,2,99.7,No
0.3,49,10,2,99.7,No
0.3,49,10,2,99.7,No
0.7,49,8,3,99.7,No
0.7,49,9,3,99.7,No
0.7,49,11,3,99.7,No
1,49,10,4,99.7,No
1,49,7,4,99.7,No
1,49,0,4,99.7,No
2,64,-7,7,100.7,No
2,64,-9,7,100.7,No
2,64,-6,7,100.7,No
0,64,-3,0,100.7,No
0,64,0,0,100.7,No
0,64,4,0,100.7,No
0,64,5,0,100.7,No
0,64,5,0,100.7,No
0,64,4,0,100.7,No
1,64,2,4,100.7,No
1,64,-1,4,100.7,No
1,64,-2,4,100.7,No
1,64,-7,4,100.7,No
1,64,-6,4,100.7,No
1,64,-3,4,100.7,No
1.7,64,3,6,100.7,No
1.7,64,12,6,100.7,No
1.7,64,17,6,100.7,No
1.3,64,17,5,100.7,No
1.3,64,19,5,100.7,No
1.3,64,15,5,100.7,No
2.3,64,17,9,100.7,No
2.3,64,3,9,100.7,No
2.3,64,-1,9,100.7,No
1.7,72,-3,6,108.6,No
1.7,72,-8,6,108.6,No
1.7,72,-6,6,108.6,No
3.3,72,-7,18,108.6,No
3.3,72,-10,18,108.6,No
3.3,72,-16,18,108.6,No
2.3,72,-7,9,108.6,No
2.3,72,-6,9,108.6,No
2.3,72,-8,9,108.6,No
2.7,72,-9,12,108.6,No
2.7,72,-7,12,108.6,No
2.7,72,-8,12,108.6,No
2,72,-9,7,108.6,No
2,72,-14,7,108.6,No
2,72,-17,7,108.6,No
2,72,-18,7,108.6,No
2,72,-13,7,108.6,No
2,72,-10,7,108.6,No
3,72,-13,15,108.6,No
3,72,-14,15,108.6,No
3,72,-14,15,108.6,No
1,72,-11,4,108.6,No
1,72,-9,4,108.6,No
1,72,-7,4,108.6,No
2.7,80,-6,12,107.9,No
2.7,80,-4,12,107.9,No
2.7,80,-5,12,107.9,No
0.7,80,-8,3,107.9,No
0.7,80,-7,3,107.9,No
0.7,80,-5,3,107.9,No
0.3,80,-1,2,107.9,No
0.3,80,2,2,107.9,No
0.3,80,5,2,107.9,No
1,80,8,4,107.9,No
1,80,9,4,107.9,No
1,80,7,4,107.9,No
1.7,80,6,6,107.9,No
1.7,80,9,6,107.9,No
1.7,80,6,6,107.9,No
1,80,4,4,107.9,No
1,80,5,4,107.9,No
1,80,3,4,107.9,No
0.3,80,3,2,107.9,No
0.3,80,0,2,107.9,No
0.3,80,-1,2,107.9,No
0.7,80,-2,3,107.9,No
0.7,80,-2,3,107.9,No
0.7,80,-1,3,107.9,No
0.7,38,0,3,103.7,No
0.7,38,1,3,103.7,No
0.7,38,2,3,103.7,No
0.7,38,2,3,103.7,No
0.7,38,1,3,103.7,No
0.7,38,0,3,103.7,No
1,38,1,4,103.7,No
1,38,3,4,103.7,No
1,38,4,4,103.7,No
0.3,38,4,2,103.7,No
0.3,38,4,2,103.7,No
0.3,38,0,2,103.7,No
1.3,38,-2,5,103.7,No
1.3,38,-3,5,103.7,No
1.3,38,-5,5,103.7,No
2,38,-5,7,103.7,No
2,38,-5,7,103.7,No
2,38,-6,7,103.7,No
2.3,38,-3,9,103.7,No
2.3,38,3,9,103.7,No
2.3,38,10,9,103.7,No
0.3,38,13,2,103.7,No
0.3,38,14,2,103.7,No
0.3,38,14,2,103.7,No
0.3,42,13,2,102.2,No
0.3,42,11,2,102.2,No
0.3,42,8,2,102.2,No
1,42,8,4,102.2,No
1,42,5,4,102.2,No
1,42,0,4,102.2,No
1.3,42,-4,5,102.2,No
1.3,42,-6,5,102.2,No
1.3,42,-5,5,102.2,No
0.7,42,-6,3,102.2,No
0.7,42,-9,3,102.2,No
0.7,42,-9,3,102.2,No
0.7,42,-8,3,102.2,No
0.7,42,-5,3,102.2,No
0.7,42,-3,3,102.2,No
0.3,42,-3,2,102.2,No
0.3,42,-3,2,102.2,No
0.3,42,-3,2,102.2,No
0,42,0,0,102.2,No
0,42,1,0,102.2,No
0,42,2,0,102.2,No
0,42,2,0,102.2,No
0,42,2,0,102.2,No
0,42,3,0,102.2,No
0,43,2,0,100.7,No
0,43,2,0,100.7,No
0,43,3,0,100.7,No
0,43,3,0,100.7,No
0,43,0,0,100.7,No
0,43,0,0,100.7,No
0,43,0,0,100.7,No
0,43,2,0,100.7,No
0,43,4,0,100.7,No
0,43,4,0,100.7,No
0,43,2,0,100.7,No
0,43,0,0,100.7,No
0,43,2,0,100.7,No
0,43,4,0,100.7,No
0,43,4,0,100.7,No
0,43,6,0,100.7,No
0,43,8,0,100.7,No
0,43,8,0,100.7,No
0.7,43,5,3,100.7,No
0.7,43,3,3,100.7,No
0.7,43,4,3,100.7,No
1,43,6,4,100.7,No
1,43,5,4,100.7,No
1,43,4,4,100.7,No
1,62,6,4,100,No
1,62,5,4,100,No
1,62,3,4,100,No
1.3,62,3,5,100,No
1.3,62,5,5,100,No
1.3,62,5,5,100,No
2.7,62,4,12,100,No
2.7,62,-1,12,100,No
2.7,62,-10,12,100,No
3,62,-25,15,100,No
3,62,-23,15,100,No
3,62,-16,15,100,No
